Orbital Period,Planetary Radius,Transit Duration,Transit Depth, Star’s Effective Temperature, Star’s Radius, Star’s Surface Gravity, Disposition
0.3814849,2.0605,0.565,570.0,4255.0,0.71,4.55641,PC
4.6595169,2.1961507,0.9011821,1725.1706259,3489.0,0.490729,4.74553,PC
6.4002807,2.2730301,2.1559875,1026.6018729,4599.0,0.720551,4.58487,CP
4.8204512,2.36747,1.756,1930.0,3692.0,0.52,4.71598,PC
18.6548829,4.3869878,5.4431451,1495.4449473,5141.0,0.876154,4.49143,CP
4.3074513,3.2819879,2.3379196,1094.8419495,5141.0,0.876154,4.49143,CP
5.9041278,2.4489454,2.7678313,773.9266468,5141.0,0.876154,4.49143,CP
37.9251983,3.241643,3.5345219,1370.7888539,5141.0,0.876154,4.49143,CP
15.9234883,2.18203,4.021,493.0,5711.85,1.08,4.38315,CP
4.3601536,6.9564258,2.3408909,5592.2909183,5227.0,0.874131,4.50479,CP
13.0791581,3.25485,2.97,1143.0,5453.0,1.0,4.41707,CP
4.6517186,2.66889,2.709,978.0,5154.0,0.85,4.47072,CP
9.1549418,2.62011,2.457,1101.0,5154.0,0.85,4.47072,CP
19.9815709,2.54717,2.724,909.0,5154.0,0.85,4.47072,CP
,2.9700035,4.6235211,738.7670156,5154.0,0.852266,4.47072,PC
1.4415044,3.8345209,0.9274524,547.3172736,6603.0,1.58365,4.438,FA
5.9630544,10.0859,2.951,11000.0,5273.0,0.94,4.438,APC
1.1219715,3.9968417,0.8226121,3997.6445916,5780.0,0.624,4.67672,PC
4.6756655,4.03134,1.914,738.0,5779.0,1.45,4.88162,FP
1.0180114,6.5875997,1.1353639,2618.9492168,5451.0,1.0933,4.33923,APC
10.288886,2.63881,1.391,854.0,5126.0,0.87,4.49772,CP
1.0332441,4.087988,3.8017836,26111.5081972,2972.0,0.156193,5.15741,FP
5.4526479,14.5502,3.401,7750.0,6509.0,1.57,4.17233,KP
10.2613397,3.60391,4.855,726.0,6124.0,1.49,4.15391,PC
3.4779776,12.5541925,2.5103489,27021.6932424,4699.0,0.765001,4.54638,CP
3.0354017,14.1334903,2.8809533,16196.2158157,5751.0,1.07224,4.35036,KP
3.1274634,2.5802896,1.9812695,1331.83693,4225.0,0.693431,4.5756,CP
7.4931613,2.7733674,1.9339295,1650.6470497,4225.0,0.693431,4.5756,CP
49.825166,3.8319135,3.8714976,2059.4069037,4225.0,0.693431,4.5756,CP
18.0574016,3.8092663,3.592177,1198.0572128,5897.0,1.01,4.45922,PC
20.8774413,2.16145,3.562,771.0,5396.0,0.9,4.50457,PC
1.0214555,1.46266,1.252,319.0,5098.0,0.82,4.54682,PC
2.7441672,7.84317,1.418,5650.0,5040.0,0.97,4.38482,PC
2.2047452,17.9781,3.996,6872.0,6532.23,1.99,3.96818,KP
10.8948421,2.4691414,2.0719394,3168.3853584,3618.0,0.435666,4.79432,CP
18.8016111,1.9112282,1.9093524,1686.7881033,3618.0,0.435666,4.79432,CP
6.7900981,9.7548481,6.0786576,2158.1733568,6378.0,2.00068,4.438,KP
8.157721,9.31888,3.788,10273.0,5091.2,0.9,4.47,CP
4.2529641,2.3483383,2.5733867,758.584999,5591.0,0.848906,4.38111,CP
9.2378703,2.22995,2.535,660.0,5591.0,0.85,4.38111,PC
3.7955178,10.3261619,2.0198135,52278.9940979,3424.0,0.445372,4.438,CP
14.3034613,18.4949,3.135,48840.0,5056.6,0.83,4.53,FP
6.1349783,13.1383,5.661,3860.0,5828.7,2.05,3.84,KP
3.3159772,4.5947,1.494,2770.0,4972.7,0.81,4.54,CP
4.6313014,9.34848,1.435,4860.0,5736.0,1.07,4.39,CP
19.3203478,9.38964,4.215,13910.0,4968.1,0.8,4.5,PC
11.3246821,4.2917226,5.9704136,1937.5829721,5518.0,0.824734,4.59176,FA
6.261169,1.3468319,2.0369188,4005.022808,3145.0,0.211257,5.04431,FA
,3.2287724,4.6,1405.9675071,5544.0,0.857648,4.5609,FA
14.8559691,2.72638,3.711,1127.0,5544.0,0.86,4.5609,PC
14.4751062,8.6976173,1.6182484,9618.5798534,3841.0,0.55035,4.69364,CP
9.6141636,3.2264735,3.4271882,933.6532689,5477.0,0.840608,4.5707,CP
4.9404714,2.3216,1.954,455.0,6086.0,1.13,4.26269,CP
9.6926392,3.289074,3.0182304,1838.2370548,4665.0,0.746003,4.56182,PC
6.390888,2.47201,3.766,435.0,6191.0,1.32,4.27017,PC
0.9689927,17.1331258,2.5496309,13532.9710157,6430.0,1.41398,4.25113,KP
10.338505,11.8729,4.242,18162.0,5336.96,0.84,4.55466,KP
1.283251,2.558112,2.012261,1961.318203,3855.0,0.560391,4.68499,FP
1.2284388,1.866263,1.9190118,1229.4965125,3526.0,0.53023,4.71105,FP
0.6166953,10.4852,0.712,1089.0,6588.0,1.57,4.1855,APC
9.6001126,2.4070295,4.9882857,380.4193796,5891.0,1.2103699,4.30161,PC
2.6998294,4.94551,2.208,2798.0,6180.0,0.92,4.57956,CP
0.581322,2.2014886,1.3261177,3206.6010016,3446.0,0.38621,4.83941,FP
0.980972,5.9162923,0.5405036,6178.392421,4486.0,0.764401,4.49914,CP
5.3987355,2.25345,3.127,352.0,5875.23,1.26,4.26474,KP
7.16199,5.05452,7.668,800.0,6229.0,1.81,4.0,PC
1.4412175,17.0442,1.666,12927.0,5672.9,1.46,4.13,FP
1.6849938,3.76716,0.916,990.0,5923.0,1.11,4.38,PC
3.9152737,9.43435,2.562,3350.0,5714.0,1.58,4.05,CP
3.1968838,14.9685779,3.7533697,7958.980656,6470.0,1.59715,4.15,CP
3.9443668,14.5727196,4.8652146,6732.488454,5494.0,1.75475,3.93,CP
3.93034,14.8838,3.667,9724.58,6292.0,1.37,,FP
4.5371361,9.8153513,4.042155,4199.7558754,5731.0,1.48668,4.1,CP
5.929405,,3.719,16410.0,,,,FP
14.3392144,2.2963233,4.6064739,392.6346872,6295.7,1.1374201,4.438,CP
2.8716983,18.1267,4.668,8568.0,6840.0,1.91,4.05,KP
6.0964074,2.5856853,2.3632965,1142.4891745,4820.4,0.731699,4.6,CP
,4.258255,8.0555709,2143.3712267,4820.4,0.731699,4.6,PC
5.6666168,14.8589,3.604,9780.0,6530.0,1.47,4.23,PC
1.56029,18.4825,2.751,1690.0,6897.0,2.29,3.89,FP
8.8735214,6.0401,4.059,1949.0,5992.0,1.18,4.34,FP
7.8513774,,6.699,21571.0,,,,FP
7.6869063,23.7824,4.652,4500.0,5147.3,3.07,,FP
2.534612,,1.978,5185.2815163,5009.6,,,APC
1.3797091,22.2329,2.352,1320.0,5924.0,2.67,3.68,FP
