Orbital Period,Planetary Radius,Transit Duration,Transit Depth,Star’s Effective Temperature (Kelvin),Star’s Radius (in solar radii),Star’s Surface Gravity (log10(cm/s²))
3.855603916,13.61,3.2179,16653.0,6033.0,1.046,4.46
3.855599139,3.57,3.183,1030.9,5936.0,0.965,4.501
38.47876629,13.26,5.04169,23530.0,5510.0,0.879,4.539
37.601661282,27.22,8.30604,59130.0,6140.0,1.096,4.354
3.314947362,3.94,1.8007,1398.2,5609.0,0.944,4.481
6.71969089,4.37,3.0231,969.7,5931.0,0.866,4.479
39.6431552,10.98,6.5292,15664.0,5231.0,0.9,4.455
51.42598578,29.66,16.9422,66068.0,6257.0,1.147,4.41
21.80451611,2.6,3.4097,1144.9,5481.0,0.708,4.629
10.28194593,2.53,3.4366,1110.7,5196.0,0.775,4.593
18.11993039,2.95,4.2309,1506.9,5196.0,0.775,4.593
3.78402867,1.7,1.9012,426.1,5196.0,0.775,4.593
5.15448142,2.94,3.228,697.5,5431.0,0.884,4.457
33.80364366,20.7,11.4813,13494.0,5855.0,1.796,3.999
5.743469797,3.13,3.4412,1240.2,5897.0,0.891,4.531
39.4759093,4.06,2.968,1012.6,6225.0,1.031,4.45
19.974485239,26.56,4.23479,40293.0,6108.0,0.997,4.471
3.166353562,3.82,3.3129,1473.4,6007.0,0.998,4.47
23.899634407,44.04,3.81881,20953.0,6192.0,0.924,4.503
3.388012244,2.11,2.6849,280.1,5553.0,1.25,4.221
5.83909761,2.06,3.1915,273.6,5553.0,1.25,4.221
1.620467654,1.57,2.1888,159.6,5553.0,1.25,4.221
10.6816951,2.3,3.605,307.8,5553.0,1.25,4.221
6.104849417,3.18,4.6912,2090.3,5085.0,0.712,4.584
3.578780566,10.43,2.91089,11382.0,5524.0,0.994,4.421
3.187067566,23.88,3.119,1037.4,5450.0,0.811,4.552
5.826657508,4.09,2.9183,1539.1,5561.0,1.06,4.362
12.41216347,2.58,3.739,611.3,5561.0,1.06,4.362
18.74649011,3.05,3.895,796.8,5561.0,1.06,4.362
20.86021229,5.5,5.1937,1910.5,6035.0,1.257,4.22
42.63427848,5.22,6.1998,1719.3,6035.0,1.257,4.22
